"TranDate","ACMB","APOT","BPMO","SNGU","STQM","UNVC"
1/1/2024 0:00:00,85.00,257.50,146.20,151.90,209.80,2028.00
1/2/2024 0:00:00,85.00,257.50,146.20,151.90,209.90,2017.50
1/3/2024 0:00:00,85.00,257.50,146.20,151.90,209.80,2020.10
1/4/2024 0:00:00,85.00,257.50,146.20,151.90,210.20,2011.10
1/8/2024 0:00:00,85.00,257.50,146.20,151.90,210.10,2015.20
1/9/2024 0:00:00,85.00,257.50,146.20,151.90,210.60,2021.90
1/10/2024 0:00:00,85.00,257.50,146.20,152.20,210.70,2024.10
1/11/2024 0:00:00,85.00,260.70,146.20,152.30,211.10,2029.10
1/14/2024 0:00:00,85.00,259.70,146.20,156.70,210.90,2029.70
1/15/2024 0:00:00,85.00,257.70,146.20,155.70,210.80,2075.00
1/16/2024 0:00:00,85.00,266.50,146.20,157.80,211.70,2078.80
1/17/2024 0:00:00,85.00,263.40,146.20,156.60,212.20,2067.60
1/18/2024 0:00:00,85.00,261.70,146.20,155.10,212.00,2073.10
1/21/2024 0:00:00,80.60,259.30,137.40,154.70,213.80,2058.40
1/22/2024 0:00:00,80.10,261.10,136.90,153.70,217.20,2124.70
1/23/2024 0:00:00,80.10,258.20,134.00,156.00,221.50,2185.00
1/24/2024 0:00:00,80.30,251.00,134.00,156.00,221.50,2194.00
1/25/2024 0:00:00,78.80,249.70,126.40,153.60,219.50,2117.60
1/28/2024 0:00:00,77.00,243.70,131.30,152.60,215.20,2070.90
1/29/2024 0:00:00,76.90,240.10,130.20,153.30,216.80,2084.60
1/30/2024 0:00:00,77.60,238.30,134.10,151.80,219.50,2073.70
1/31/2024 0:00:00,78.20,238.40,131.90,151.10,218.00,2068.20
